sr_No,Ticker,Company,sector,industry,country,market_Cap,P_E_Ratio,Price,Change,Volume,P_S_Ratio,P_B_Ratio,P_C_Ratio,Dividend,ROA,ROE,ROI,Debt_Eq,Outstanding,Float,Insider_Own,Insider_Trans,Inst_Own,Inst_Trans,Float_Short,Short_Ratio,Perf_Week,Perf_Month,Perf_Quart,Perf_Half,Perf_Year,Perf_YTD,Volatility_Week,Volatility_Month,Recom,Beta,ATR,SMA20,SMA50,SMA200,52W_High,52W_Low,RSI,Price
1,A,Agilent Technologies Inc.,Healthcare,Medical Laboratories & Research,USA,21.92B,35.24,68.37,0.0035,1072288,4.99,4.76,8.55,0.0078,7.90%,14.50%,8.70%,0.45,320.60M,320.60M,0.003,-0.2355,0.888,0.005,0.0075,1.5,0.0059,0.0406,0.1232,0.214,0.566,0.5007,0.0097,0.0109,1.7,1.28,0.73,0.0179,0.0389,0.1715,-0.0022,0.593,66.99,68.37
2,AA,Alcoa Corporation,Basic Materials,Aluminum,USA,8.94B,32.19,47.12,-0.0072,1838986,0.81,1.46,8.58,-,0.10%,0.40%,-2.70%,0.24,189.76M,171.86M,0.001,0,0.772,-0.0146,0.0294,1.31,-0.0165,-0.0234,0.2403,0.519,0.9511,0.6781,0.0253,0.0252,2.1,-,1.31,-0.0151,0.0217,0.2565,-0.0634,1.0541,48.03,47.12
3,AAL,American Airlines Group Inc.,Services,Major Airlines,USA,23.62B,12.07,47.45,0.0019,4037123,0.57,6.27,3.43,0.0084,4.20%,57.60%,13.00%,6.69,497.76M,482.21M,0.004,-0.1003,0.834,0.0025,0.0535,4.54,-0.0023,-0.0615,-0.0619,0.0559,0.2049,0.0163,0.0176,0.0243,2.4,0.99,1.33,-0.0625,-0.01,0.0068,-0.129,0.2102,42.28,47.45
4,AAP,Advance Auto Parts Inc.,Services,Auto Parts Stores,USA,6.32B,16.34,81.8,0.0013,1108556,0.67,1.93,24.56,0.0029,4.40%,12.40%,12.80%,0.33,77.22M,73.55M,0.003,1.597,-,0.0069,0.1004,3.35,-0.0016,-0.1328,-0.2529,-0.4434,-0.4109,-0.5163,0.0232,0.0283,2.6,0.94,2.38,-0.0497,-0.1153,-0.346,-0.54,0.0198,33.59,81.8
5,AAPL,Apple Inc.,Consumer Goods,Electronic Equipment,USA,896.15B,19.62,172.5,0.0261,59147363,4.01,6.77,11.67,0.0146,14.00%,35.40%,20.60%,0.82,5.20B,5.16B,0.0008,-0.1828,0.625,-0.0004,0.0066,1.23,0.058,0.1101,0.0862,0.1274,0.5706,0.4894,0.0214,0.014,1.9,1.2,2.85,0.0816,0.0876,0.1639,0.0151,0.6574,73.3,172.5
6,ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers - Major,USA,147.23B,22.54,92.31,0.0142,3620124,5.51,24.49,20.44,0.0277,9.50%,114.10%,18.00%,6.2,1.60B,1.59B,0.001,-0.2756,0.711,0.0033,0.0089,2.14,0.0041,0.0236,0.2961,0.3942,0.6516,0.4741,0.0262,0.0263,2.3,1.53,2.56,0.0018,0.0617,0.2838,-0.0606,0.6528,55.23,92.31
7,ABC,AmerisourceBergen Corporation,Services,Drugs Wholesale,USA,16.90B,19.51,74.8,0.0214,2726048,0.11,6.4,12.89,0.0195,2.50%,36.60%,23.70%,1.48,225.97M,161.72M,0.002,-0.2072,0.71,-0.0037,0.0721,6.11,-0.0207,-0.1108,-0.0717,-0.1362,0.0343,-0.0434,0.0421,0.0344,2.4,0.96,2.73,-0.0587,-0.0709,-0.1359,-0.2356,0.0887,35.87,74.8
8,ABT,Abbott Laboratories,Healthcare,Medical Appliances & Equipment,USA,96.57B,45.73,55.47,0.0202,4565568,3.84,3.05,9.82,0.0191,2.60%,5.80%,6.70%,0.76,1.74B,1.72B,0.005,-0.0671,0.74,-0.0023,0.0076,2.39,0.0018,0.01,0.1252,0.2415,0.4453,0.4442,0.0164,0.0137,2,1.57,0.82,0.0073,0.043,0.1647,-0.0214,0.4839,58.97,55.47
9,ACN,Accenture plc,Technology,Information Technology Services,Ireland,92.02B,26.48,144.04,0.0043,1336018,2.5,10.92,27.19,0.0185,18.50%,49.00%,40.70%,0,638.87M,617.14M,0.002,-0.1464,0.813,0.0009,0.0152,4.86,0.0053,0.0574,0.1107,0.1893,0.2316,0.2297,0.0112,0.0112,2.3,1.05,1.7,0.0303,0.056,0.1417,0.0018,0.2825,71.58,144.04
10,ADBE,Adobe Systems Incorporated,Technology,Application Software,USA,89.95B,57.35,182.3,0.0075,2244692,13.03,11.01,16.75,-,12.00%,20.60%,13.20%,0.23,493.43M,491.01M,0.0039,-0.0571,0.9,0.0014,0.011,2.12,0.028,0.2133,0.2281,0.3492,0.701,0.7708,0.0185,0.0191,1.8,1.04,3.44,0.1075,0.1616,0.3068,0.0045,0.8602,76.94,182.3
